pm10,date,temperature_2m,relativehumidity_2m,windspeed_10m
11.0,2023-03-10 10:00:00,4.668407310704956,77.81462140992167,9.1639686684073
39.0,2023-02-28 19:00:00,1.8,74.0,6.8
7.0,2023-03-12 14:00:00,4.668407310704956,77.81462140992167,9.1639686684073
32.0,2023-03-01 15:00:00,3.1,86.0,13.1
7.0,2023-03-12 10:00:00,4.668407310704956,77.81462140992167,9.1639686684073
28.0,2023-03-05 18:00:00,4.2,72.0,8.3
7.0,2023-02-25 18:00:00,5.7,88.0,3.5
6.0,2023-03-14 22:00:00,4.668407310704956,77.81462140992167,9.1639686684073
20.0,2023-03-07 07:00:00,2.1,99.0,4.6
25.0,2023-02-28 17:00:00,2.4,65.0,7.3
11.0,2023-03-02 02:00:00,2.4,98.0,8.8
4.0,2023-03-14 15:00:00,4.668407310704956,77.81462140992167,9.1639686684073
27.0,2023-03-04 00:00:00,0.3,96.0,5.9
39.0,2023-03-07 14:00:00,8.0,72.0,10.6
2.0,2023-03-09 11:00:00,15.1,54.0,17.8
4.0,2023-03-11 09:00:00,4.668407310704956,77.81462140992167,9.1639686684073
27.0,2023-03-08 12:00:00,12.3,55.0,20.5
34.0,2023-03-06 15:00:00,8.8,61.0,6.4
13.0,2023-03-12 18:00:00,4.668407310704956,77.81462140992167,9.1639686684073
19.0,2023-03-09 21:00:00,8.8,85.0,11.0
14.0,2023-03-08 06:00:00,1.5,96.0,4.1
3.0,2023-03-15 14:00:00,4.668407310704956,77.81462140992167,9.1639686684073
6.0,2023-02-25 22:00:00,3.0,99.0,4.3
22.0,2023-03-05 03:00:00,0.5,87.0,2.7
9.0,2023-03-02 07:00:00,2.8,98.0,8.0
27.0,2023-03-03 20:00:00,2.7,94.0,4.0
2.0,2023-03-09 15:00:00,15.8,52.0,11.2
10.0,2023-03-14 06:00:00,4.668407310704956,77.81462140992167,9.1639686684073
35.0,2023-03-06 07:00:00,1.6,83.0,3.1
25.0,2023-03-07 08:00:00,2.4,92.0,5.4
16.0,2023-03-10 01:00:00,4.668407310704956,77.81462140992167,9.1639686684073
9.0,2023-02-27 15:00:00,2.7,47.0,14.8
3.0,2023-02-26 07:00:00,0.6,87.0,10.3
5.0,2023-02-27 01:00:00,-0.1,61.0,15.3
19.0,2023-02-22 06:00:00,0.5,94.0,5.4
7.0,2023-03-12 11:00:00,4.668407310704956,77.81462140992167,9.1639686684073
